,DEC_LAT,DEC_LONG,DRINKING_DRIVER,CELL_PHONE,RUNNING_RED_LT,AGGRESSIVE_DRIVING,DISTRACTED,DRUGGED_DRIVER,ILLEGAL_DRUG_RELATED,RUNNING_STOP_SIGN,NEIGHBORHOOD
27140,40.45349884,-79.93180084,0,0,0,1,0,0,0,1,Shadyside
27141,40.43769836,-79.95439911,0,0,0,0,0,0,0,0,Central Oakland
27142,40.40810013,-79.94180298,0,0,0,1,0,0,0,1,Hazelwood
27143,40.42739868,-79.93080139,0,0,0,0,1,0,0,0,Greenfield
27144,40.45059967,-79.93009949,0,0,0,1,0,0,0,0,Shadyside
27145,40.43109894,-79.959198,1,0,1,1,0,0,0,0,South Oakland
27146,40.45660019,-79.93969727,0,0,0,0,0,1,1,0,Bloomfield
27147,40.4878006,-79.89720154,0,0,0,0,1,0,0,0,Lincoln-Lemington-Belmar
27148,40.46170044,-79.94889832,0,0,0,0,0,0,0,0,Bloomfield
27149,40.45780182,-79.94190216,0,0,0,0,1,0,0,0,Bloomfield
27150,40.38949966,-79.93640137,0,0,0,1,0,0,0,0,Hays
27157,40.46670151,-80.0345993,0,0,0,0,1,0,0,0,Marshall-Shadeland
27158,40.46469879,-79.97979736,0,0,0,1,0,0,0,0,Troy Hill
27161,40.42779922,-80.05319977,0,0,0,1,0,0,0,0,Westwood
27167,40.45610046,-79.96510315,0,0,0,0,0,0,0,0,Polish Hill
27168,40.42969894,-79.99900055,0,0,0,0,0,0,0,0,South Shore
27207,40.43640137,-80.00109863,0,0,0,0,0,0,0,0,Central Business District
27258,40.44710159,-79.89520264,0,0,0,1,0,0,0,0,Point Breeze
27259,40.44919968,-80.00499725,0,0,1,1,0,0,0,0,North Shore
27260,40.46369934,-80.01229858,0,0,0,1,0,1,1,0,Perry South
27261,40.45410156,-79.99680328,0,0,1,1,0,0,0,0,East Allegheny
27262,40.46870041,-79.92749786,1,0,0,1,0,0,0,0,East Liberty
27264,40.45690155,-80.02929688,1,1,0,1,1,0,0,0,Manchester
27266,40.45230103,-79.97480011,0,0,1,1,0,0,0,0,Strip District
27267,40.45149994,-79.95339966,0,0,0,1,0,0,0,0,North Oakland
27268,40.46060181,-79.91719818,0,0,0,1,0,0,0,0,East Liberty
27269,40.46469879,-79.94419861,0,0,0,0,0,0,0,0,Bloomfield
27270,40.40019989,-79.98919678,1,0,0,1,0,0,0,0,Carrick
27272,40.44839859,-79.95860291,1,0,0,0,0,0,0,0,Terrace Village
27273,40.47060013,-79.93280029,0,0,0,0,0,0,0,0,Garfield
27274,40.45449829,-79.89479828,0,0,0,0,0,0,0,0,Homewood South
27275,40.43799973,-80.05349731,0,0,0,1,0,0,0,0,Crafton Heights
27276,40.4292984,-80.05349731,1,0,0,1,0,0,0,1,Westwood
27277,40.40359879,-80.04039764,0,0,0,0,0,0,0,0,Banksville
27278,40.4109993,-80.00589752,0,0,0,0,0,0,0,0,Bon Air
27279,40.41809845,-79.99880219,0,0,0,0,0,0,0,0,Beltzhoover
27280,40.39630127,-79.99819946,0,0,0,0,0,0,0,0,Carrick
27281,40.39120102,-79.97779846,0,0,0,0,0,0,0,0,Carrick
27282,40.45299911,-80.03939819,0,0,1,1,0,0,0,0,Esplen
27283,40.40169907,-80.02210236,0,0,1,1,0,0,0,0,Brookline
27285,40.4477005,-79.98789978,0,0,0,1,0,0,0,0,Strip District
27286,40.42089844,-79.99330139,0,0,0,0,0,0,0,0,Allentown
27287,40.38059998,-79.99479675,0,0,0,1,1,0,0,0,Overbrook
27288,40.43889999,-79.99389648,0,0,0,1,0,0,0,0,Bluff
27289,40.39970016,-80.04419708,0,0,0,0,0,0,0,0,Banksville
27291,40.417099,-80.01950073,0,0,0,0,0,0,0,0,Beechview
27292,40.4292984,-79.99919891,0,0,0,0,0,0,0,0,South Shore
27293,40.45399857,-80.0562973,0,0,0,1,0,0,0,0,Sheraden
27294,40.41009903,-79.99549866,0,0,0,0,0,0,0,0,Knoxville
27295,40.41659927,-79.98970032,0,0,0,1,0,0,0,0,Knoxville
27298,40.43809891,-79.99559784,0,0,0,1,0,0,0,0,Central Business District
27299,40.44179916,-79.99629974,0,0,0,0,0,0,0,0,Central Business District
27303,40.43899918,-80.00370026,0,0,0,0,1,0,0,0,Central Business District
27315,40.43330002,-80.02189636,0,0,0,1,0,0,0,0,Duquesne Heights
27316,40.43889999,-80.00700378,1,0,0,0,0,0,0,0,Central Business District
27318,40.43159866,-79.95880127,0,0,0,0,0,0,0,0,South Oakland
27323,40.46160126,-79.99980164,0,0,0,1,0,0,0,0,Fineview
27337,40.45429993,-79.99759674,0,0,0,0,0,0,0,0,East Allegheny
27340,40.42969894,-79.92340088,0,0,0,0,1,0,0,0,Squirrel Hill South
27343,40.43980026,-79.95939636,0,0,1,1,0,0,0,0,Central Oakland
27344,40.4571991,-80.03029633,0,1,0,0,1,0,0,0,Chateau
27345,40.48789978,-79.92030334,0,0,0,1,0,0,0,0,Morningside
27346,40.45970154,-79.92500305,0,0,0,0,0,0,0,0,Shadyside
27347,40.46480179,-79.9068985,0,0,0,0,0,0,0,0,Lincoln-Lemington-Belmar
27348,40.46459961,-79.93979645,1,0,0,1,0,0,0,0,Garfield
27349,40.4516983,-79.90239716,0,0,0,1,0,0,0,0,Point Breeze North
27350,40.43099976,-79.92749786,0,0,0,0,0,0,0,0,Squirrel Hill South
27351,40.43980026,-79.89649963,0,0,0,0,1,0,0,0,Point Breeze
27353,40.45999908,-79.94589996,0,0,0,0,0,0,0,0,Bloomfield
27354,40.45190048,-79.95210266,0,0,0,0,0,0,0,0,North Oakland
27365,40.45460129,-79.99729919,0,0,0,1,0,0,0,0,East Allegheny
27367,40.42660141,-79.91699982,0,0,0,1,0,0,0,0,Squirrel Hill South
27368,40.43600082,-79.97260284,0,0,0,1,0,0,0,0,South Oakland
27370,40.45330048,-79.99680328,0,0,0,1,0,0,0,0,East Allegheny
27372,40.43239975,-79.96029663,0,0,0,1,0,0,0,0,South Oakland
27374,40.43690109,-80.05310059,0,0,0,1,0,0,0,0,Westwood
27391,40.43809891,-80.01270294,0,0,0,1,0,0,0,0,South Shore
27393,40.43159866,-79.95880127,0,0,0,1,0,0,0,0,South Oakland
27395,40.42570114,-80.03099823,0,0,0,1,0,0,0,0,Ridgemont
27397,40.42710114,-79.8914032,0,0,0,1,0,0,0,0,Swisshelm Park
27398,40.43180084,-80.0243988,0,0,0,1,0,0,0,0,Duquesne Heights
27399,40.42789841,-79.92489624,0,0,0,1,0,0,0,0,Squirrel Hill South
27400,40.43579865,-79.97679901,0,0,0,1,0,0,0,0,Bluff
27407,40.46699905,-80.02490234,0,0,0,0,1,0,0,0,Perry South
27414,40.38169861,-79.9957962,0,0,0,0,0,0,0,0,Overbrook
27416,40.45439911,-79.94779968,0,0,1,1,0,0,0,0,Bloomfield
27458,40.39599991,-80.02380371,1,0,0,0,0,0,0,0,Brookline
27461,40.40750122,-80.03340149,0,0,0,0,0,0,0,0,Banksville
27474,40.45399857,-79.99790192,0,0,0,0,0,0,0,0,East Allegheny
27475,40.47980118,-80.03900146,0,0,0,0,0,0,0,0,Brighton Heights
27476,40.48310089,-80.03540039,0,0,1,1,0,0,0,0,Brighton Heights
27477,40.45399857,-80.01450348,0,0,0,1,0,0,0,0,Central Northside
27478,40.47019958,-80.03669739,0,0,0,0,0,0,0,0,Marshall-Shadeland
27481,40.45230103,-79.97480011,0,0,0,1,0,0,0,0,Strip District
27482,40.43109894,-79.959198,0,0,0,0,1,0,0,0,South Oakland
27483,40.46559906,-79.9552002,1,0,1,1,0,0,0,0,Bloomfield
27485,40.45370102,-79.99330139,0,0,0,1,0,0,0,0,North Shore
27486,40.46620178,-80.02010345,0,0,0,0,0,0,0,0,Perry South
27487,40.44710159,-79.98870087,1,0,0,0,0,0,0,0,Strip District
27488,40.43050003,-80.00019836,0,0,0,0,0,0,0,0,South Shore
27489,40.42869949,-79.98970032,0,0,0,1,0,0,0,0,South Side Flats
27490,40.43069839,-80.02590179,0,0,0,1,0,0,0,0,Duquesne Heights
27491,40.41529846,-79.95580292,0,0,0,1,1,0,0,0,South Side Flats
27492,40.42829895,-79.97309875,0,0,0,0,0,0,0,0,South Side Flats
27493,40.39670181,-79.97869873,0,0,0,0,0,0,0,0,Carrick
27494,40.43030167,-80.02850342,0,0,0,0,1,0,0,0,West End
27495,40.42879868,-79.98639679,1,0,0,1,0,0,0,0,South Side Flats
27496,40.44219971,-79.98329926,0,0,0,1,0,0,0,0,Crawford-Roberts
27510,40.45729828,-80.07980347,0,0,0,0,1,0,0,0,Windgap
27512,40.46110153,-80.05549622,0,0,0,0,0,0,0,0,Esplen
27513,40.45259857,-79.9265976,0,0,0,1,0,0,0,0,Shadyside
27515,40.44419861,-79.9178009,0,0,0,0,0,0,0,0,Squirrel Hill North
27517,40.44919968,-79.90129852,0,0,0,1,1,0,0,0,Point Breeze North
27518,40.43690109,-79.96309662,0,0,1,1,0,0,0,0,South Oakland
27520,40.46820068,-79.94390106,0,0,0,0,0,0,0,0,Garfield
27521,40.45410156,-79.94960022,0,0,0,1,0,0,0,0,Bloomfield
27522,40.48619843,-79.91329956,0,0,0,0,0,0,0,0,Highland Park
27523,40.45399857,-79.91239929,1,0,0,1,0,1,1,0,Point Breeze
27524,40.45729828,-79.89399719,0,0,0,0,0,0,0,0,Homewood North
27546,40.42829895,-79.97280121,0,0,0,0,0,0,0,0,South Side Flats
27562,40.45759964,-79.99060059,1,0,0,1,0,0,0,0,Troy Hill
27563,40.44139862,-80.00389862,0,0,0,0,0,0,0,0,Central Business District
27564,40.46429825,-79.96600342,0,0,0,0,1,0,0,0,Lower Lawrenceville
27565,40.45410156,-79.99680328,0,0,1,1,0,0,0,0,East Allegheny
27567,40.40729904,-80.03359985,0,0,1,1,0,0,0,0,Beechview
27604,40.38059998,-79.91169739,0,0,0,1,0,0,0,0,Lincoln Place
27633,40.44710159,-79.89520264,0,0,1,1,0,0,0,0,Point Breeze
27634,40.4516983,-79.93309784,0,0,0,1,0,0,0,0,Shadyside
27635,40.44049835,-79.99150085,0,0,1,1,0,0,0,0,Central Business District
27636,40.48730087,-80.01629639,1,0,0,0,0,0,0,0,Perry North
27638,40.38830185,-80.00440216,0,0,0,0,0,0,0,0,Overbrook
27639,40.44710159,-79.89520264,0,0,1,1,0,0,0,0,Point Breeze
27640,40.41579819,-80.03990173,1,0,0,0,0,0,0,0,Banksville
27641,40.43880081,-80.01529694,0,0,0,0,0,0,0,0,South Shore
27642,40.45299911,-80.04940033,0,0,0,0,0,0,0,0,Sheraden
27648,40.44260025,-79.93759918,0,0,0,0,0,0,0,0,Squirrel Hill North
27649,40.4516983,-79.93219757,0,0,0,1,0,0,0,1,Shadyside
27650,40.44120026,-79.92549896,0,0,0,0,1,0,0,0,Squirrel Hill North
27651,40.39170074,-79.93440247,0,0,0,0,0,0,0,0,Hays
27652,40.45449829,-79.92169952,0,0,0,1,0,0,0,1,Shadyside
27654,40.46979904,-79.92710114,0,0,0,1,0,0,0,0,East Liberty
27655,40.45510101,-79.88600159,1,0,0,1,0,0,0,0,Homewood North
27656,40.46730042,-79.91290283,0,0,0,0,0,0,0,0,Larimer
27657,40.45149994,-79.90809631,1,0,0,1,0,1,1,0,Point Breeze North
27669,40.4314003,-79.95890045,0,0,0,0,0,0,0,0,South Oakland
27670,40.47589874,-80.03130341,0,0,0,0,0,0,0,0,Marshall-Shadeland
27671,40.4742012,-80.03700256,0,0,0,0,0,0,0,0,Brighton Heights
27672,40.46780014,-79.98139954,0,0,0,0,0,0,0,0,Troy Hill
27673,40.47980118,-80.01190186,0,0,0,1,0,0,0,0,Perry North
27674,40.45050049,-79.97869873,0,0,0,1,0,0,0,0,Bedford Dwellings
27675,40.4375,-79.98149872,0,0,0,1,0,1,1,1,Bluff
27676,40.42169952,-79.99739838,0,0,1,1,0,0,0,0,Allentown
27677,40.41650009,-79.99549866,0,0,0,0,0,0,0,0,Knoxville
27678,40.42720032,-79.9272995,0,0,0,0,0,0,0,0,Squirrel Hill South
27680,40.42910004,-80.02429962,0,0,0,0,0,0,0,0,Duquesne Heights
27683,40.41669846,-79.95610046,0,0,0,0,0,0,0,0,South Side Flats
27688,40.45959854,-79.9016037,1,0,0,0,1,0,0,0,Homewood West
27689,40.45439911,-79.94779968,0,0,1,1,0,0,0,0,Bloomfield
27722,40.45660019,-79.99510193,0,0,0,0,0,0,0,0,East Allegheny
27724,40.45230103,-79.97480011,0,0,0,0,0,0,0,0,Strip District
27725,40.44810104,-79.99160004,0,0,0,1,0,0,0,0,Strip District
27726,40.44729996,-80.04740143,0,0,0,1,0,0,0,1,Crafton Heights
27727,40.39630127,-79.99819946,0,0,0,0,0,0,0,0,Carrick
27728,40.39459991,-79.9865036,0,0,0,0,1,0,0,0,Carrick
27729,40.42990112,-80.02870178,0,0,0,0,1,0,0,0,Ridgemont
27741,40.46590042,-79.92279816,0,0,0,1,0,0,0,0,East Liberty
27744,40.45569992,-79.89330292,0,0,0,0,1,0,0,0,Homewood South
27745,40.48709869,-79.91670227,0,0,0,1,0,0,0,0,Morningside
27756,40.45240021,-79.98069763,0,0,0,0,0,0,0,0,Strip District
27757,40.41690063,-80.01439667,0,0,1,1,0,0,0,0,Mount Washington
27764,40.48770142,-79.91970062,0,0,0,0,1,0,0,0,Highland Park
27769,40.48669815,-79.94190216,0,0,0,0,0,0,0,0,Stanton Heights
27770,40.47340012,-80.00579834,0,0,0,1,0,0,0,0,Perry South
27771,40.42710114,-79.8914032,0,0,0,1,0,0,0,0,Swisshelm Park
27782,40.4294014,-79.95649719,0,0,0,1,0,0,0,0,South Oakland
27783,40.42660141,-79.91699982,0,0,0,1,0,0,0,0,Squirrel Hill South
27795,40.39590073,-80.02300262,0,0,0,0,0,0,0,0,Brookline
27799,40.4496994,-80.02510071,0,0,0,1,0,0,0,0,Chateau
27800,40.44979858,-79.95079803,0,0,0,1,0,0,0,0,North Oakland
27801,40.44150162,-79.99539948,0,0,0,0,0,0,0,0,Central Business District
27803,40.44169998,-79.99230194,0,0,0,0,0,0,0,0,Crawford-Roberts
27806,40.43740082,-79.9992981,0,0,0,1,0,0,0,0,Central Business District
27809,40.42710114,-79.91950226,0,0,0,1,0,0,0,0,Squirrel Hill South
27811,40.38330078,-79.93049622,0,0,0,0,0,0,0,0,Hays
27812,40.41970062,-79.9280014,0,0,0,1,0,0,0,0,Greenfield
27813,40.46020126,-79.89769745,0,0,0,1,0,0,0,0,Homewood North
27814,40.46519852,-79.95120239,0,0,0,1,0,0,0,0,Bloomfield
27815,40.45569992,-79.8934021,0,0,0,0,0,0,0,0,Homewood South
27816,40.47000122,-79.92759705,0,0,0,0,0,0,0,0,East Liberty
27829,40.4396019,-80.00939941,0,0,0,1,1,0,0,0,Central Business District
27832,40.46310043,-79.98310089,0,0,0,0,0,0,0,0,Troy Hill
27833,40.45869827,-79.99849701,0,0,1,1,0,0,0,0,East Allegheny
27834,40.48770142,-80.0161972,0,0,0,0,0,0,0,0,Perry North
27846,40.47340012,-80.00579834,0,0,0,1,0,0,0,0,Perry South
27851,40.45399857,-80.02140045,0,0,0,0,1,0,0,0,Manchester
27853,40.45550156,-79.99340057,0,0,0,1,0,0,0,0,Troy Hill
27854,40.44049835,-79.98860168,0,0,0,0,0,0,0,0,Central Business District
27857,40.45370102,-79.92120361,1,0,0,0,0,0,0,0,Shadyside
27858,40.40200043,-80.00060272,0,0,0,0,1,0,0,0,Carrick
27859,40.43209839,-80.00389862,0,0,0,0,0,0,0,0,South Shore
27861,40.4292984,-79.99919891,0,0,0,1,0,0,0,0,South Shore
27866,40.44440079,-80.02839661,0,0,0,0,0,0,0,0,Elliott
27868,40.46269989,-80.05190277,0,0,0,1,0,0,0,0,Esplen
27869,40.42890167,-80.02929688,0,0,0,1,0,0,0,0,Ridgemont
27870,40.46229935,-80.05149841,0,0,0,0,1,0,0,0,Esplen
27871,40.4516983,-80.0515976,0,0,0,0,1,0,0,0,Sheraden
27872,40.45449829,-80.04090118,0,0,0,1,0,0,0,0,Esplen
27873,40.38809967,-79.99649811,0,0,0,0,0,0,0,0,Overbrook
27874,40.4469986,-80.03199768,0,0,0,0,0,0,0,0,Elliott
27876,40.43920135,-80.01599884,0,0,0,1,0,0,0,0,South Shore
27877,40.42580032,-80.01979828,0,0,1,1,0,0,0,0,Mount Washington
27885,40.39319992,-80.02249908,0,0,0,0,0,0,0,0,Brookline
27886,40.44900131,-79.95189667,0,0,0,0,0,0,0,0,North Oakland
27889,40.45410156,-79.92749786,0,0,0,1,0,0,0,0,Shadyside
27890,40.44979858,-79.95079803,0,0,0,0,0,0,0,0,North Oakland
27892,40.47399902,-79.92520142,0,0,0,1,0,0,0,1,Highland Park
27893,40.46789932,-79.93630219,0,0,0,0,0,0,0,0,Garfield
27894,40.4715004,-79.92630005,0,0,1,1,0,0,0,0,East Liberty
27899,40.43019867,-80.0279007,0,0,0,1,0,0,0,0,West End
27900,40.42699814,-79.9197998,0,0,0,1,0,0,0,0,Squirrel Hill South
27903,40.45420074,-79.99759674,0,0,0,1,0,0,0,0,East Allegheny
27908,40.43439865,-79.98989868,0,0,0,1,0,0,0,0,Bluff
27912,40.49280167,-80.0109024,1,0,0,1,0,0,0,0,Perry North
27913,40.43619919,-80.0,1,0,0,0,0,0,0,0,Central Business District
27917,40.43830109,-80.00589752,0,0,0,0,0,0,0,0,Central Business District
27920,40.43149948,-79.95890045,0,0,0,1,0,0,0,0,South Oakland
27922,40.42710114,-79.8914032,1,0,0,1,0,0,0,0,Swisshelm Park
27923,40.43180084,-80.0243988,1,0,0,1,0,0,0,0,Duquesne Heights
27924,40.47790146,-80.03849792,0,0,0,0,1,0,0,0,Brighton Heights
27925,40.45690155,-80.00569916,0,0,0,0,0,0,0,0,Central Northside
27927,40.45130157,-79.99659729,0,0,0,1,0,0,0,0,North Shore
27935,40.36980057,-79.9131012,0,0,0,0,0,0,0,0,Lincoln Place
27936,40.44869995,-80.00229645,0,0,0,0,0,0,0,0,North Shore
27937,40.44950104,-80.00260162,0,0,1,1,0,0,0,0,North Shore
27938,40.46080017,-79.9937973,0,0,0,1,1,0,0,0,East Allegheny
27940,40.44729996,-79.99099731,1,0,0,1,1,0,0,0,Strip District
27941,40.43769836,-79.99410248,0,0,0,1,0,0,0,0,Bluff
27942,40.42589951,-79.95379639,0,0,0,0,0,0,0,0,Hazelwood
27943,40.43420029,-79.9957962,0,0,0,1,1,0,0,0,Central Business District
27945,40.4375,-80.00409698,1,0,0,0,0,0,0,0,Central Business District
27946,40.44290161,-79.99130249,0,0,0,1,0,0,0,0,Crawford-Roberts
27947,40.4878006,-79.93900299,0,0,0,0,0,0,0,0,Upper Lawrenceville
27949,40.45220184,-79.97480011,1,0,0,0,0,1,0,0,Bedford Dwellings
27952,40.42990112,-80.02870178,0,0,0,1,0,0,0,0,Ridgemont
27954,40.44400024,-80.04060364,0,0,1,1,0,0,0,0,Elliott
27955,40.45690155,-79.89409637,0,0,0,1,0,0,0,1,Homewood North
27956,40.43220139,-80.00389862,0,0,0,0,0,0,0,0,South Shore
27957,40.44189835,-80.02220154,0,0,0,1,0,0,0,0,South Shore
27960,40.43899918,-79.99810028,0,0,1,1,0,0,0,0,Central Business District
27961,40.42819977,-79.91760254,0,0,0,0,1,0,0,0,Squirrel Hill South
27962,40.45510101,-79.97669983,0,0,0,1,0,0,0,0,Strip District
27964,40.43610001,-80.0266037,0,0,0,0,0,0,0,0,Duquesne Heights
27965,40.38399887,-79.99539948,0,0,0,0,1,0,0,0,Overbrook
27966,40.40879822,-79.97640228,0,0,0,0,1,0,0,0,St. Clair
27967,40.42509842,-79.9641037,0,0,0,1,0,0,0,1,South Side Flats
27968,40.42200089,-79.96520233,0,0,0,0,0,1,0,0,South Side Slopes
27970,40.43709946,-80.04019928,0,0,0,1,0,0,0,0,Westwood
27972,40.38330078,-79.93049622,0,0,0,0,0,0,0,0,Hays
27973,40.44929886,-79.98519897,0,0,0,0,0,0,0,0,Strip District
27994,40.4054985,-80.01950073,0,0,0,0,0,0,0,0,Beechview
27997,40.45640182,-79.92880249,0,0,0,1,1,0,0,0,Shadyside
27999,40.43690109,-79.95929718,0,0,0,0,1,0,0,0,South Oakland
28000,40.44409943,-79.9280014,0,0,1,1,0,0,0,0,Squirrel Hill North
28001,40.3832016,-79.93039703,0,0,0,0,0,0,0,0,Hays
28002,40.45130157,-79.94100189,0,0,1,1,1,0,0,0,Shadyside
28003,40.45090103,-79.90630341,0,0,0,1,1,0,0,0,Point Breeze North
28005,40.46160126,-79.90789795,0,0,0,0,0,0,0,0,Larimer
28006,40.42919922,-79.92120361,0,0,1,1,0,0,0,0,Squirrel Hill South
28007,40.39189911,-79.93460083,0,0,0,1,0,0,0,0,Hays
28008,40.46860123,-79.93160248,0,0,0,1,0,0,0,0,Garfield
28009,40.46220016,-79.91110229,0,0,0,1,0,0,0,1,Larimer
28010,40.45560074,-79.94300079,0,0,0,1,0,0,0,0,Shadyside
28013,40.46360016,-79.90329742,0,0,0,0,0,0,0,0,Lincoln-Lemington-Belmar
28014,40.48149872,-79.91899872,0,0,0,1,0,0,0,0,Highland Park
28046,40.40620041,-80.03379822,0,0,0,1,0,0,0,0,Banksville
28047,40.46590042,-79.90550232,0,0,0,0,0,0,0,0,Lincoln-Lemington-Belmar
28048,40.46269989,-80.05190277,0,0,1,1,0,0,0,0,Esplen
28049,40.38999939,-80.01809692,0,0,0,0,0,0,0,0,Brookline
28053,40.42639923,-79.89309692,1,0,0,1,0,0,0,0,Swisshelm Park
28055,40.42879868,-79.99960327,0,0,0,1,0,0,0,0,Mount Washington
28057,40.37519836,-80.00499725,0,0,0,1,0,0,0,0,Overbrook
28069,40.46839905,-80.03340149,0,0,0,0,0,0,0,0,Marshall-Shadeland
28085,40.44240189,-80.02339935,1,0,0,0,0,0,0,0,South Shore
28118,40.47259903,-80.03119659,0,0,0,0,0,0,0,0,Marshall-Shadeland
28147,40.47019958,-80.03669739,0,0,0,0,1,0,0,0,Marshall-Shadeland
28149,40.44630051,-80.00980377,0,0,0,1,0,0,0,0,North Shore
28150,40.45410156,-79.99680328,0,0,1,1,0,0,0,0,East Allegheny
28151,40.45560074,-79.99250031,0,0,0,1,0,0,0,0,Troy Hill
28155,40.43529892,-79.9673996,0,0,0,1,0,0,0,0,South Oakland
28159,40.4742012,-79.90820313,0,0,1,1,0,0,0,0,Lincoln-Lemington-Belmar
28160,40.43849945,-80.00579834,0,0,1,1,0,0,0,0,Central Business District
28164,40.44670105,-80.03150177,1,0,0,0,0,0,0,0,Elliott
28165,40.43299866,-80.02919769,1,0,0,1,0,0,0,0,West End
28166,40.43479919,-80.02140045,0,0,0,0,1,0,0,0,Duquesne Heights
28168,40.42179871,-80.00430298,0,0,0,1,0,0,0,0,Mount Washington
28169,40.45410156,-80.05400085,0,0,0,0,0,0,0,0,Sheraden
28171,40.3771019,-80.00430298,0,0,0,0,1,0,0,0,Overbrook
28172,40.41070175,-80.01490021,0,0,0,1,0,0,0,0,Beechview
28173,40.46319962,-79.9088974,0,0,0,0,0,0,0,0,Larimer
28174,40.45690155,-79.93849945,0,0,0,1,0,0,0,0,Bloomfield
28175,40.47019958,-79.90850067,1,0,0,1,0,0,0,0,Lincoln-Lemington-Belmar
28176,40.45429993,-79.88349915,0,0,0,0,0,0,0,0,East Hills
28178,40.46300125,-79.90989685,0,0,0,1,0,0,0,0,Larimer
28179,40.43470001,-80.01689911,0,0,0,1,0,0,0,0,Mount Washington
28180,40.37720108,-80.0042038,0,0,0,1,0,0,0,0,Overbrook
28181,40.44290161,-80.02500153,0,0,0,0,0,0,0,0,South Shore
28183,40.44229889,-80.04170227,0,0,0,1,0,0,0,0,Elliott
28184,40.39619827,-79.99810028,0,0,0,1,0,0,0,0,Carrick
28186,40.45349884,-79.93180084,0,0,0,1,0,0,0,1,Shadyside
28187,40.45059967,-79.98459625,0,0,0,0,0,0,0,0,Strip District
28189,40.45299911,-80.03939819,0,0,0,1,0,0,0,0,Esplen
28190,40.40840149,-80.01779938,0,0,0,1,0,0,0,0,Brookline
28191,40.43069839,-80.02590179,0,0,0,0,0,0,0,0,Duquesne Heights
28192,40.42720032,-79.96260071,0,0,0,1,0,0,0,0,South Side Flats
28212,40.43180084,-80.0243988,0,0,0,1,0,0,0,0,Duquesne Heights
28219,40.42890167,-79.92510223,0,0,0,0,0,0,0,0,Squirrel Hill South
28220,40.42919922,-79.94219971,1,0,0,1,0,0,0,0,Greenfield
28225,40.42639923,-79.91649628,0,0,0,1,0,0,0,0,Squirrel Hill South
28229,40.49340057,-80.01049805,0,0,0,1,0,0,0,0,Summer Hill
28230,40.47340012,-80.00579834,0,0,0,1,0,0,0,0,Perry South
28231,40.43019867,-80.0279007,0,0,0,1,0,0,0,0,West End
28240,40.49100113,-79.88760376,0,0,0,1,0,0,0,0,Lincoln-Lemington-Belmar
28243,40.43159866,-79.91809845,0,0,0,0,1,0,0,0,Squirrel Hill South
28244,40.45569992,-79.91049957,0,0,0,1,0,0,0,0,Point Breeze North
28245,40.42129898,-79.94619751,0,0,0,0,0,0,0,0,Hazelwood
28246,40.43510056,-79.91249847,0,0,0,0,0,0,0,0,Squirrel Hill South
28247,40.44850159,-79.93419647,0,0,0,1,0,0,0,0,Shadyside
28251,40.45750046,-79.91739655,0,0,0,1,0,0,0,0,Larimer
28252,40.4878006,-79.89730072,0,0,0,1,1,0,0,0,Lincoln-Lemington-Belmar
28253,40.46780014,-79.92810059,0,0,0,0,0,0,0,0,Garfield
28254,40.45399857,-79.91239929,1,0,0,1,0,1,0,0,Point Breeze
28255,40.45399857,-79.91239929,0,0,0,0,0,0,0,0,Point Breeze
28256,40.46530151,-79.94499969,0,0,0,0,1,0,0,0,Garfield
28257,40.4620018,-79.93890381,0,0,0,0,1,0,0,0,Bloomfield
28258,40.46979904,-79.92710114,0,0,0,0,0,0,0,0,East Liberty
28263,40.42699814,-79.9197998,0,0,0,0,0,0,0,0,Squirrel Hill South
28264,40.42599869,-79.89779663,0,0,0,0,0,0,0,0,Swisshelm Park
28287,40.43149948,-79.95880127,0,0,0,1,0,0,0,0,South Oakland
28288,40.44049835,-80.00939941,0,0,0,0,0,0,0,0,Central Business District
28289,40.44260025,-80.0089035,0,0,0,1,0,0,0,0,Central Business District
28294,40.43149948,-79.95880127,0,0,0,1,0,0,0,0,South Oakland
28297,40.43170166,-79.95860291,0,0,0,1,0,0,0,0,South Oakland
28314,40.45980072,-79.9713974,0,0,0,1,0,0,0,0,Strip District
28320,40.47100067,-80.00859833,0,0,0,0,0,0,0,0,Perry South
28344,40.39550018,-80.0223999,0,0,0,1,0,0,0,0,Brookline
28364,40.43429947,-79.96150208,0,0,0,1,0,0,0,0,South Oakland
28365,40.46480179,-79.97979736,0,1,0,0,1,0,0,0,Troy Hill
28367,40.46559906,-79.97920227,0,0,0,0,1,0,0,0,Troy Hill
28369,40.46269989,-79.96720123,0,0,1,1,0,0,0,0,Lower Lawrenceville
28370,40.4394989,-79.9885025,0,0,0,0,0,0,0,0,Central Business District
28371,40.4396019,-80.00509644,0,0,1,1,0,0,0,0,Central Business District
28372,40.45059967,-79.96579742,0,0,0,1,0,1,1,0,Middle Hill
28373,40.43809891,-79.99569702,1,0,0,1,0,0,0,0,Central Business District
28375,40.42829895,-79.97329712,1,0,0,1,0,0,0,0,South Side Flats
28380,40.45119858,-79.97660065,0,0,0,1,0,0,0,0,Strip District
28382,40.45289993,-79.88529968,0,0,0,1,0,0,0,0,East Hills
28383,40.45050049,-79.92050171,1,0,0,0,0,0,0,0,Squirrel Hill North
28384,40.47200012,-79.93049622,0,0,0,1,0,0,0,0,East Liberty
28385,40.45399857,-79.91239929,0,0,0,1,0,0,0,0,Point Breeze
